"Id" "Pop"
"1" "PE08744" "wild_e"
"2" "PE08730" "wild_e"
"3" "PE08731" "wild_e"
"4" "PE08732" "wild_e"
"5" "PE08734" "wild_e"
"6" "PE08736" "wild_e"
"7" "PE08155" "wild_c"
"8" "PE08165" "wild_c"
"9" "PE08171" "wild_c"
"10" "PE08470" "wild_c"
"11" "PE08473" "wild_c"
"12" "PE00838" "wild_c"
"13" "PE08084" "wild_c"
"14" "PE08094" "wild_c"
"15" "PE08106" "wild_c"
"16" "PE08127" "wild_c"
"17" "PE08136" "wild_c"
"18" "PE08146" "wild_c"
"19" "PE05720" "wild_w"
"20" "PE05724" "wild_w"
"21" "PE08487" "wild_w"
"22" "PE08492" "wild_w"
"23" "PE08498" "wild_w"
"24" "PE01458" "wild_w"
"25" "PE08503" "wild_w"
"26" "PMiGAP084" "cult_s"
"27" "PMiGAP183" "cult_s"
"28" "PMiGAP074" "cult_s"
"29" "PMiGAP283" "cult_s"
"30" "PMiGAP327" "cult_s"
"31" "PMiGAP318" "cult_s"
"32" "PMiGAP021" "cult_s"
"33" "PMiGAP262" "cult_s"
"34" "PMiGAP013" "cult_s"
"35" "PMiGAP223" "cult_s"
"36" "PMiGAP194" "cult_s"
"37" "PMiGAP022" "cult_s"
"38" "PMiGAP187" "cult_s"
"39" "PMiGAP197" "cult_s"
"40" "PMiGAP342" "cult_s"
"41" "PMiGAP043" "cult_s"
"42" "PMiGAP263" "cult_s"
"43" "PMiGAP308" "cult_s"
"44" "PMiGAP338" "cult_s"
"45" "PMiGAP184" "cult_s"
"46" "PMiGAP069" "cult_s"
"47" "PMiGAP099" "cult_s"
"48" "PMiGAP219" "cult_s"
"49" "PMiGAP011" "cult_s"
"50" "PMiGAP228" "cult_s"
"51" "PMiGAP343" "cult_s"
"52" "PMiGAP126" "cult_s"
"53" "PMiGAP206" "cult_s"
"54" "PMiGAP186" "cult_s"
"55" "PMiGAP089" "cult_s"
"56" "PMiGAP319" "cult_s"
"57" "PMiGAP092" "cult_s"
"58" "PMiGAP326" "cult_s"
"59" "PMiGAP312" "cult_s"
"60" "PMiGAP059" "cult_s"
"61" "PMiGAP008" "cult_s"
"62" "PMiGAP109" "cult_s"
"63" "PMiGAP161" "cult_s"
"64" "PMiGAP063" "cult_i"
"65" "PMiGAP168" "cult_i"
"66" "PMiGAP098" "cult_i"
"67" "PMiGAP020" "cult_i"
"68" "PMiGAP041" "cult_i"
"69" "PMiGAP252" "cult_i"
"70" "PMiGAP282" "cult_i"
"71" "PMiGAP058" "cult_i"
"72" "PMiGAP017" "cult_i"
"73" "PMiGAP038" "cult_i"
"74" "PMiGAP016" "cult_i"
"75" "PMiGAP322" "cult_i"
"76" "PMiGAP029" "cult_i"
"77" "PMiGAP311" "cult_i"
"78" "PMiGAP137" "cult_i"
"79" "PMiGAP012" "cult_i"
"80" "PMiGAP175" "cult_i"
"81" "PMiGAP003" "cult_i"
"82" "PMiGAP260" "cult_i"
"83" "PMiGAP170" "cult_i"
"84" "PMiGAP123" "cult_i"
"85" "PMiGAP207" "cult_i"
"86" "PMiGAP119" "cult_i"
"87" "PMiGAP100" "cult_i"
"88" "PMiGAP199" "cult_i"
"89" "PMiGAP148" "cult_i"
"90" "PMiGAP127" "cult_i"
"91" "PMiGAP154" "cult_i"
"92" "PMiGAP124" "cult_i"
"93" "PMiGAP195" "cult_i"
"94" "PMiGAP158" "cult_i"
"95" "PMiGAP325" "cult_i"
"96" "PMiGAP272" "cult_i"
"97" "PMiGAP171" "cult_i"
"98" "PMiGAP047" "cult_i"
"99" "PMiGAP275" "cult_i"
"100" "PMiGAP296" "cult_i"
"101" "PMiGAP107" "cult_i"
"102" "PMiGAP081" "cult_i"
"103" "PMiGAP284" "cult_i"
"104" "PMiGAP307" "cult_i"
"105" "PMiGAP321" "cult_i"
"106" "PMiGAP298" "cult_i"
"107" "PMiGAP299" "cult_e"
"108" "PMiGAP080" "cult_e"
"109" "PMiGAP064" "cult_e"
"110" "PMiGAP033" "cult_e"
"111" "PMiGAP336" "cult_e"
"112" "PMiGAP237" "cult_e"
"113" "PMiGAP088" "cult_e"
"114" "PMiGAP328" "cult_e"
"115" "PMiGAP147" "cult_e"
"116" "PMiGAP151" "cult_e"
"117" "PMiGAP281" "cult_e"
"118" "PMiGAP202" "cult_e"
"119" "PMiGAP095" "cult_e"
"120" "PMiGAP304" "cult_c"
"121" "PMiGAP096" "cult_c"
"122" "PMiGAP085" "cult_c"
"123" "PMiGAP134" "cult_c"
"124" "PMiGAP182" "cult_c"
"125" "PMiGAP068" "cult_c"
"126" "PMiGAP243" "cult_c"
"127" "PMiGAP288" "cult_c"
"128" "PMiGAP265" "cult_c"
"129" "PMiGAP280" "cult_c"
"130" "PMiGAP245" "cult_c"
"131" "PMiGAP216" "cult_c"
"132" "PMiGAP220" "cult_c"
"133" "PMiGAP035" "cult_c"
"134" "PMiGAP274" "cult_c"
"135" "PMiGAP132" "cult_c"
"136" "PMiGAP056" "cult_c"
"137" "PMiGAP028" "cult_c"
"138" "PMiGAP067" "cult_c"
"139" "PMiGAP031" "cult_c"
"140" "PMiGAP169" "cult_c"
"141" "PMiGAP076" "cult_c"
"142" "PMiGAP111" "cult_c"
"143" "PMiGAP087" "cult_c"
"144" "PMiGAP079" "cult_c"
"145" "PMiGAP006" "cult_c"
"146" "PMiGAP289" "cult_c"
"147" "PMiGAP139" "cult_c"
"148" "PMiGAP034" "cult_c"
"149" "PMiGAP066" "cult_c"
"150" "PMiGAP025" "cult_c"
"151" "PMiGAP198" "cult_c"
"152" "PMiGAP215" "cult_c"
"153" "PMiGAP192" "cult_c"
"154" "PMiGAP180" "cult_c"
"155" "PMiGAP270" "cult_c"
"156" "PMiGAP090" "cult_c"
"157" "PMiGAP166" "cult_c"
"158" "PMiGAP172" "cult_c"
"159" "PMiGAP292" "cult_c"
"160" "PMiGAP240" "cult_c"
"161" "PMiGAP278" "cult_c"
"162" "PMiGAP009" "cult_c"
"163" "PMiGAP082" "cult_c"
"164" "PMiGAP332" "cult_c"
"165" "PMiGAP077" "cult_c"
"166" "PMiGAP177" "cult_c"
"167" "PMiGAP117" "cult_c"
"168" "PMiGAP333" "cult_c"
"169" "PMiGAP065" "cult_c"
"170" "PMiGAP062" "cult_c"
"171" "PMiGAP300" "cult_c"
"172" "PMiGAP150" "cult_c"
"173" "PMiGAP214" "cult_c"
"174" "PMiGAP118" "cult_c"
"175" "PMiGAP277" "cult_c"
"176" "PMiGAP320" "cult_c"
"177" "PMiGAP242" "cult_c"
"178" "PMiGAP071" "cult_c"
"179" "PMiGAP149" "cult_c"
"180" "PMiGAP323" "cult_c"
"181" "PMiGAP157" "cult_c"
"182" "PMiGAP070" "cult_c"
"183" "PMiGAP196" "cult_c"
"184" "PMiGAP344" "cult_c"
"185" "PMiGAP259" "cult_c"
"186" "PMiGAP042" "cult_c"
"187" "PMiGAP121" "cult_c"
"188" "PMiGAP122" "cult_c"
"189" "PMiGAP345" "cult_c"
"190" "PMiGAP222" "cult_c"
"191" "PMiGAP285" "cult_c"
