"spect3" "spect5" "spect6"
"chr1_35914" 1 1 1
"chr1_46066" 3 4 3
"chr1_48123" 2 3 2
"chr1_54290" 2 2 2
"chr1_60507" 1 2 1
"chr1_62811" 30 55 50
"chr1_121957" 2 3 3
"chr1_132301" 12 15 15
"chr1_146459" 1 1 1
"chr1_149305" 3 3 3
"chr1_152726" 2 2 2
"chr1_155799" 36 41 42
"chr1_163603" 3 5 6
"chr1_166987" 25 30 32
"chr1_169122" 13 21 20
"chr1_170354" 5 7 8
"chr1_173033" 3 4 5
"chr1_175864" 1 2 5
"chr1_201115" 7 11 9
"chr1_210680" 14 21 26
"chr1_276972" 22 32 27
"chr1_282741" 1 1 2
"chr1_313395" 14 21 23
"chr1_315275" 1 1 1
"chr1_358900" 14 20 21
"chr1_367141" 15 19 22
"chr1_369186" 9 20 18
"chr1_371494" 8 12 12
"chr1_400571" 4 6 5
"chr1_417311" 4 5 5
"chr1_421511" 1 1 1
"chr1_427802" 14 18 16
"chr1_432446" 1 2 4
"chr1_436546" 7 10 7
"chr1_440628" 1 1 3
"chr1_444586" 13 17 15
"chr1_447883" 7 9 7
"chr1_450509" 1 2 4
"chr1_452397" 3 4 4
"chr1_455278" 14 19 16
"chr1_459281" 9 14 13
"chr1_460982" 1 1 1
"chr1_469097" 5 8 9
"chr1_500314" 1 1 1
"chr1_593450" 2 2 2
"chr1_601167" 4 7 8
"chr1_638504" 2 3 4
"chr1_642910" 30 37 34
"chr1_644151" 4 5 5
"chr1_646691" 2 3 2
"chr1_648842" 1 1 1
"chr1_650949" 32 56 44
"chr1_702019" 3 4 3
"chr1_713782" 9 11 13
"chr1_716120" 1 1 1
"chr1_721229" 2 3 4
"chr1_723316" 1 1 1
"chr1_725552" 2 2 3
"chr1_728592" 1 1 1
"chr1_752927" 35 52 48
"chr1_755021" 12 17 19
"chr1_767692" 5 7 6
"chr1_779007" 1 1 2
"chr1_785649" 1 1 2
"chr1_788431" 1 1 1
"chr1_791316" 2 3 3
"chr1_793394" 1 1 1
"chr1_796361" 6 9 7
"chr1_804603" 5 8 7
"chr1_833512" 1 1 1
"chr1_836696" 9 11 10
"chr1_839277" 1 1 1
"chr1_841930" 3 4 7
"chr1_855286" 37 45 45
"chr1_857850" 21 28 24
"chr1_862465" 9 11 10
"chr1_889485" 12 16 16
"chr1_903122" 1 1 1
"chr1_904941" 2 3 2
"chr1_906378" 2 2 2
"chr1_908970" 30 38 34
"chr1_911257" 1 1 1
"chr1_913650" 24 29 30
"chr1_916701" 2 2 4
"chr1_918595" 1 2 3
