"wild.west.sample.freq" "wild.east.sample.freq" "wild.center.sample.freq"
"chr1_100021685" 0 0 0.125
"chr1_1002726" 0.333333333333333 0 0.3
"chr1_100512633" 0 0 0.272727272727273
"chr1_10091297" 0 0 0
"chr1_101110321" 0 0 0.333333333333333
"chr1_101355072" 0 0 0
"chr1_101384125" 0 0 0
"chr1_101411872" 0 0 0
"chr1_101495114" 0 0.333333333333333 0
"chr1_101896704" 0 0 0.166666666666667
"chr1_101944782" 0.285714285714286 0.166666666666667 0.111111111111111
"chr1_101955019" 0 0 0
"chr1_101991818" 0 0 0
"chr1_102069006" 0 0 0
"chr1_102227128" 0.142857142857143 0.333333333333333 0.454545454545455
"chr1_102293830" 0 0 0
"chr1_102298897" 0.25 0.4 0.333333333333333
"chr1_102366072" 0.166666666666667 0 0.2
"chr1_102634030" 0 0.333333333333333 0
"chr1_102915770" 0 0 0
"chr1_102939629" 0 0 0.1
"chr1_102983582" 0 0.333333333333333 0
"chr1_103156954" 0 0 0
"chr1_1032092" 0.2 0.333333333333333 0
"chr1_103429128" 0.2 0 0
"chr1_103570879" 0 0 0
"chr1_103918706" 0 0 0
"chr1_104011474" 0.25 0 0.142857142857143
"chr1_104152740" 0 0 0
"chr1_104203704" 0 0 0
"chr1_104232099" 0.428571428571429 0.166666666666667 0.416666666666667
"chr1_104709383" 0.285714285714286 0 0.444444444444444
"chr1_104875720" 0 0 0.0909090909090909
"chr1_104895050" 0.333333333333333 0.166666666666667 0.1
"chr1_105344479" 0 0 0
"chr1_105347090" 0 0 0
"chr1_105786964" 0.142857142857143 0.4 0.0833333333333333
"chr1_105840856" 0.142857142857143 0 0.363636363636364
"chr1_105932743" 0 0.2 0.181818181818182
"chr1_106068663" 0 0 0
"chr1_106103509" 0 0 0.222222222222222
"chr1_106259223" 0 0.25 0.375
"chr1_106412344" 0.5 0 0.428571428571429
"chr1_106704530" 0 0 0
"chr1_107034981" 0 0 0.166666666666667
"chr1_107102385" 0 0.333333333333333 0.181818181818182
"chr1_107154061" 0 0 0.272727272727273
"chr1_107274834" 0 0 0
"chr1_107344589" 0 0 0
"chr1_107605353" 0.142857142857143 0.5 0.5
"chr1_107709067" 0 0 0
"chr1_107898122" 0 0 0
"chr1_107985573" 0 0 0
"chr1_108220521" 0.25 0.333333333333333 0.142857142857143
"chr1_108310891" 0.25 0 0
"chr1_108530792" 0 0 0
"chr1_108759217" 0 0 0
"chr1_108811718" 0.166666666666667 0.25 0.0909090909090909
"chr1_109172032" 0 0.2 0.2
"chr1_109181299" 0 0 0
"chr1_109375371" 0 0 0
"chr1_109431686" 0.285714285714286 0 0
"chr1_109470288" 0 0 0.3
"chr1_109707684" 0 0 0
"chr1_109765814" 0 0 0
"chr1_10979590" 0 0 0
"chr1_109898621" 0 0 0
"chr1_110056064" 0.2 0.333333333333333 0
"chr1_110110942" 0 0.333333333333333 0.0909090909090909
"chr1_110342577" 0 0 0
"chr1_110565148" 0 0 0
"chr1_110735559" 0 0 0
"chr1_111004479" 0 0 0.1
"chr1_111108115" 0.25 0.4 0.333333333333333
"chr1_111334307" 0 0 0
"chr1_111640941" 0.428571428571429 0 0
"chr1_111717723" 0 0 0
"chr1_111720689" 0 0 0.25
"chr1_112025584" 0 0 0
"chr1_112381154" 0 0 0
"chr1_112451261" 0 0.333333333333333 0.375
"chr1_112856630" 0 0 0
"chr1_113105013" 0 0.166666666666667 0.222222222222222
"chr1_113320359" 0 0 0
"chr1_113728966" 0.5 0.5 0.454545454545455
"chr1_113889810" 0.2 0.4 0.333333333333333
"chr1_113981873" 0 0 0.1
"chr1_114049602" 0.4 0 0.4
"chr1_114116164" 0 0 0
"chr1_114172390" 0.333333333333333 0.25 0.2
"chr1_114222574" 0 0 0.2
"chr1_114227655" 0 0 0.222222222222222
"chr1_114301123" 0 0 0
"chr1_114495122" 0 0 0
"chr1_114964908" 0 0 0
"chr1_115004067" 0.333333333333333 0 0.125
"chr1_115148219" 0 0 0
"chr1_115281309" 0 0 0
"chr1_115418530" 0 0 0
"chr1_115479859" 0 0.5 0.5
"chr1_115788534" 0 0 0
"chr1_116022637" 0 0.2 0
"chr1_116075340" 0.166666666666667 0.25 0
"chr1_116200167" 0 0 0
"chr1_116287423" 0.25 0 0
"chr1_116370215" 0 0 0
"chr1_116394159" 0 0 0
"chr1_116585119" 0 0 0.1
"chr1_116619604" 0.285714285714286 0.166666666666667 0
"chr1_116736068" 0 0.2 0.125
"chr1_116790505" 0.142857142857143 0.25 0.1
"chr1_117085930" 0 0 0
"chr1_117471143" 0 0 0.222222222222222
"chr1_117533995" 0.5 0 0.111111111111111
"chr1_117576334" 0 0 0
"chr1_117638826" 0 0 0
"chr1_117734898" 0 0 0
"chr1_117839226" 0.2 0 0
"chr1_117921526" 0.428571428571429 0 0
"chr1_118034044" 0.166666666666667 0 0.142857142857143
"chr1_118255289" 0.333333333333333 0.333333333333333 0
"chr1_118258967" 0.25 0 0
"chr1_118261601" 0.5 0.5 0.454545454545455
"chr1_118562503" 0 0 0
"chr1_118601275" 0 0 0.222222222222222
"chr1_118608683" 0.142857142857143 0 0.1
"chr1_118741509" 0 0 0
"chr1_118878027" 0 0 0.111111111111111
"chr1_118915068" 0.2 0.166666666666667 0.166666666666667
"chr1_119114130" 0 0 0
"chr1_11914790" 0.25 0 0
"chr1_119265336" 0 0 0.166666666666667
"chr1_119326102" 0 0.166666666666667 0
"chr1_119359126" 0 0 0.1
"chr1_119372586" 0.4 0 0
"chr1_11944746" 0 0 0
"chr1_119885473" 0.333333333333333 0 0.428571428571429
"chr1_120169318" 0.25 0.333333333333333 0.363636363636364
"chr1_120177624" 0 0 0
"chr1_120542927" 0.166666666666667 0 0
"chr1_121160145" 0 0.25 0
"chr1_121195149" 0 0 0
"chr1_121236360" 0 0 0.125
"chr1_121348649" 0 0 0
"chr1_121430374" 0 0 0
"chr1_121472064" 0 0 0
"chr1_121755092" 0 0 0.0909090909090909
"chr1_122027224" 0 0 0
"chr1_122244757" 0 0.2 0.375
"chr1_122284160" 0 0 0
"chr1_122342074" 0 0 0
"chr1_122362818" 0 0 0
"chr1_122531262" 0 0 0
"chr1_122562707" 0 0 0
"chr1_122610679" 0 0 0
"chr1_122758238" 0 0.333333333333333 0
"chr1_122994130" 0 0 0
"chr1_123114751" 0 0 0
"chr1_123272007" 0 0.166666666666667 0
"chr1_123378528" 0 0 0
"chr1_123560899" 0 0 0
"chr1_123711614" 0.4 0 0
"chr1_12375720" 0 0 0
"chr1_123857292" 0 0 0.1
"chr1_123894393" 0 0 0
"chr1_123945782" 0 0.333333333333333 0.333333333333333
"chr1_124004748" 0.4 0 0
"chr1_124154246" 0 0 0
"chr1_124204844" 0 0 0
"chr1_124627355" 0 0 0
"chr1_124760438" 0.166666666666667 0 0.333333333333333
"chr1_124901768" 0 0 0
"chr1_124957892" 0.142857142857143 0 0
"chr1_125211230" 0 0 0
"chr1_125329933" 0 0 0.142857142857143
"chr1_125356117" 0 0 0.1
"chr1_125604334" 0 0 0
"chr1_125878029" 0 0 0
"chr1_12595405" 0 0 0.0909090909090909
"chr1_126126218" 0 0 0
"chr1_126145801" 0 0 0.272727272727273
"chr1_126424605" 0 0 0
"chr1_126697921" 0.5 0 0.285714285714286
"chr1_126813475" 0 0 0
"chr1_127148874" 0.333333333333333 0.25 0.142857142857143
"chr1_127278571" 0.333333333333333 0 0
